headline,date
"A list of 11 names are “Marines that gave their lives this week for everyone in this country. There is no media for them, not even a mention of their names.”"," March 20, 2020"
“Sunlight actually can kill the (novel coronavirus.)”," March 20, 2020"
"2019 coronavirus can live for up to 3 hours in the air, up to 4 hours on copper, up to 24 hours on cardboard up to 3 days on plastic and stainless steel.”"," March 20, 2020"
"“While we are all sitting here debating, Wisconsin has kicked hundreds of thousands of people off of their voting rolls.”"," March 2, 2020"
"”America has been vaccinating cattle for coronavirus for years, yet the news tells you it’s new and gunna kill you all so go buy mask.”"," March 2, 2020"
Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.," March 2, 2020"
"Says the media cut out his request of Russian hackers to find Hillary Clinton’s emails “right at the end so that you don’t see the laughter, the joke.”"," March 2, 2020"
Says Democratic members of Congress who represent Cuban Americans in Florida and have been critical of Sanders “just so happen to be supporting other candidates.”," March 2, 2020"
“Florida hospital reports a coronavirus ‘infestation’ with multiple confirmed patients.”," March 2, 2020"
“Mike Bloomberg owns more wealth than the bottom 125 million Americans.”," March 2, 2020"
Poll Finds 38% of Americans Say They Will Not Drink Corona Beer Because of Virus.," March 2, 2020"
The mortality rate for the flu is “right around” that of the new coronavirus: “It’s right around 2%.”," March 2, 2020"
Says Sen. Thom Tillis voted to take away coverage for people with pre-existing conditions.," March 2, 2020"
“Bernie Sanders voted in favor of every war during his tenure.”," March 2, 2020"
"Says 93,000 blacks didn’t vote in Milwaukee (in 2016)"," March 19, 2020"
“People are going door to door in Colorado Springs stating they are COVID testing so they can rob people!!!!”," March 19, 2020"
Says there is no COVID-19 virus.," March 19, 2020"
"Says that “over a 45-minute period that we had the press conference” on the coronavirus on March 13, 2020, the stock market set an all-time record."," March 19, 2020"
Says coronavirus is just “the damn flu.”," March 19, 2020"
"The coronavirus snuck up on us,” adding that it is “a very unforeseen thing.”"," March 19, 2020"
"Says President Donald Trump said, “People are dying who have never died before.”"," March 19, 2020"
"George Soros owns the WuXi PHARMA LAB located in Wuhan, China where COVID-19 was developed and conveniently Broke Out."," March 19, 2020"
Says the New York Times exposed the “real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances.”," March 19, 2020"
"Says Donald Trump tweeted, “I ordered the Treasury secretary to send checks to Americans! First however, we will go through your social media history from the last 4 years and search for any post with #NotMyPresident in it. I wouldn’t think of offending you with a check if I’m not your president! #MAGA”"," March 19, 2020"
"“I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.”"," March 18, 2020"
"“President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life.”"," March 18, 2020"
Says “Joe Biden wants to ban 9mm pistols.”," March 18, 2020"
“Italy has decided not to treat their elderly for this virus.”," March 18, 2020"
"“All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting from March 17.”"," March 18, 2020"
Says Anthony Fauci’s statement that the coronavirus death rate is 10 times that of the seasonal flu is “a claim without any scientific basis.," March 18, 2020"
COVID-19 started because we eat animals.," March 18, 2020"
Says Oprah Winfrey’s house “has been seized and they are excavating the property and digging up the tunnels!”," March 18, 2020"
"“Now, as it stands, our health care system has adequate ventilators, ICU beds, medical professionals.”"," March 18, 2020"
"“Remember, the American Revolution began when they came for the guns.”"," March 18, 2020"
"Because the Federal Reserve recently cut interest rates to near 0%, “the Fed will be of little consequence now. They’ve already used what leverage they have.”"," March 18, 2020"
“MSNBC actually said on air ‘I hope enough people die from coronavirus that it harms Trump’s re-election.’”," March 18, 2020"
Says most NC legislators are in the high risk age group for coronavirus," March 18, 2020"
On whether the state should use surplus funds for ongoing expenses.," March 17, 2020"
The WHO coronavirus test “was a bad test.”," March 17, 2020"
"Says a 2007 immigration bill “was opposed by (the League of United Latin American Citizens), the largest Latino organization in America. The Southern Poverty Law Center called its guest-worker programs akin to slavery. … And you know who voted with me on that one, Joe? Barack Obama.”"," March 17, 2020"
In South Florida “all children and adults must remain in their homes” due to coronavirus.," March 17, 2020"
President Donald Trump “will evoke (sic) what is called the Stafford act” and “order a two week mandatory quarantine for the nation.”," March 17, 2020"
"Says Donald Trump “cut funding to the CDC,” “fired the Pandemic Response Team,” “refused WHO tests” and “wasted two weeks calling this outbreak a ‘Democrat hoax.’”"," March 17, 2020"
Donald Trump is “announcing tomorrow that the US is going into quarantine for the next 14 days.”," March 17, 2020"
Says Spectrum will provide free internet to students during coronavirus school closures.," March 17, 2020"
Silver Solution used on strains of coronavirus totally eliminate it. Kills it. Deactivates it.”," March 17, 2020"
"Says Rep. Matt Gaetz and Sen. Ted Cruz took two weeks paid sick leave to self-quarantine. Gaetz “voted in 2013 to make it illegal for any city in Florida to enact paid sick leave,” and Cruz “voted in 2015 in the U.S. Senate against paid sick leave.”"," March 17, 2020"
The World Health Organization offered the testing kits that they have available and to give it to us now. We refused them. We did not want to buy them.”," March 16, 2020"
"“Right now we have over 40,000 new jobs in a little over 18 months” in Missouri."," March 16, 2020"
“Coronavirus — 22. Clintons — 39.”," March 16, 2020"
Says COVID-19 came to the United States in 2019.," March 16, 2020"
“The CDC can detain anyone with a fever — indefinitely. … Vaccination (is) a way people could get out of detention.”," March 16, 2020"
“‘The Simpsons' predicted Tom Hanks getting coronavirus in 2007.”," March 16, 2020"
Says Nancy Pelosi was “caught trying to include abortion funding in bill to combat coronavirus.”," March 16, 2020"
Drinking “water a lot and gargling with warm water & salt or vinegar eliminates” the coronavirus.," March 16, 2020"
Says Bernie Sanders voted against the auto bailout," March 15, 2020"
Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”," March 15, 2020"
"Says Joe Biden “was in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings & a 78% Approval Rating, the highest on record. His was lowest!"," March 15, 2020"
"“Some states are only getting 50 tests per day, and the Utah Jazz got 58.”"," March 13, 2020"
Says 80% of novel coronavirus cases are mild.," March 13, 2020"
“ICE arrests LA mayor for harboring fugitives through sanctuary city.”," March 13, 2020"
"“During the 2009 swine flu outbreak, Biden made reckless comments unsupported by science & the experts. The Obama Admin had to clean up his mess & apologize for his ineptitude.”"," March 13, 2020"
Says you can monitor yourself for COVID-19 with a breath test.," March 13, 2020"
“Sen. Bernie Sanders led the effort to dump Vermont's nuclear waste on a poor Latino community in Texas.”," March 13, 2020"
"“U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.”"," March 13, 2020"
“It’s actually the safest time to fly.”," March 13, 2020"
"Says if you donate blood, “they HAVE to test you” for coronavirus."," March 13, 2020"
Says a video of Joe Biden and Beto O’Rourke at a Texas Whataburger shows Biden “looking directly into the camera and promising to take away Americans’ guns if elected.”," March 13, 2020"
“You had the last two administrations deport twice as many people as we deported — twice as many.”," March 13, 2020"
"Akira’ is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the (World Health Organization) advising Japan to postpone the Olympics because of a pandemic risk"," March 13, 2020"
"A post comparing two construction workers — “Joe legal” and “Jose illegal” — says “Jose” pays no taxes yet gets free medical care, food stamps, welfare, and 'head of the class' priority for his children in applying for college."," March 13, 2020"
“Car thefts (are) increasing in 8 of the 10 most populous (Wisconsin) counties.”," March 12, 2020"
"Of the Trump administration’s European travel restrictions that exempt the U.K.: “Well, you can just get into the Chunnel, and you’ll be in the U.K.”"," March 12, 2020"
Says Joe Biden has advocated cutting Social Security for 40 years," March 12, 2020"
"“(Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus, exactly. Do you know that Trump closed 37 of them?”"," March 12, 2020"
Says Tom Hanks has a volleyball to keep him company while he’s quarantined.," March 12, 2020"
Says North Carolina Gov. Roy Cooper “has seen his approval rating plummet”," March 12, 2020"
The health insurance industry has “agreed to waive all co-payments for coronavirus treatments.”," March 12, 2020"
“NYC man drops dead in middle of street — suspected coronavirus!”," March 12, 2020"
"Says Joe Biden “attacked voters this primary,” saying “damn liar,” “full of s---” and “dog-faced pony soldier.”"," March 12, 2020"
“Whole of Italy goes into quarantine.”," March 11, 2020"
“The average (Wisconsin) resident’s tax burden is at its lowest level in nearly 50 years while incomes continue to grow.”," March 11, 2020"
Says Jimmy Carter has endorsed Bernie Sanders.," March 11, 2020"
Says Harvard scientists say the coronavirus is “spreading so fast that it will infect 70% of humanity this year.”," March 11, 2020"
“Anybody that wants a test (for the coronavirus) can get a test.”," March 11, 2020"
"If the coronavirus gets in your mouth, drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy ... your stomach ACID will kill all the virus."," March 11, 2020"
“The coronavirus has officially reached Milwaukee County.”," March 11, 2020"
Being exposed to the sun for two hours kills the 2019 coronavirus.," March 11, 2020"
Says Daniel Radcliffe has the coronavirus.," March 11, 2020"
Michael Bloomberg “did not poll well as mayor in handling crisis!”," March 11, 2020"
“More people have died from knowing Hillary” than coronavirus.," March 11, 2020"
“Every election year has a disease” ... SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.," March 11, 2020"
"Says President Donald “Trump promised 13,000 new jobs to the people of #Wisconsin. 3 years later, we’re still waiting…”"," March 11, 2020"
“You’re more likely to die of influenza right now” than the 2019 coronavirus.," March 10, 2020"
“Joe Biden just told @Lawrence that as president he would veto Medicare for All if it passed both houses and came to his desk.”," March 10, 2020"
"“Trade agreements like NAFTA and permanent normal trade relations with China, which forced American workers to compete against people making pennies an hour, has resulted in the loss of 160,000 jobs here in Michigan."," March 10, 2020"
Says Nancy Pelosi delayed coronavirus funding so “Dems could campaign on it.”," March 10, 2020"
“President Trump has come into contact with a potential coronavirus sufferer!”," March 10, 2020"
“The coronavirus was invented and patented in the USA and then planted in China.”," March 10, 2020"
“People Of Color May Be Immune To The Coronavirus Because Of Melanin.”," March 10, 2020"
Says “Joe Biden mistakes Idaho for Iowa in visit to Boise fundraiser.”," March 10, 2020"
"On key issues including taxes, health care, the Green New Deal, abortion, and guns, there is “no daylight between” Bernie Sanders and Joe Biden."," March 10, 2020"
"“In Boone County (Missouri) with a 1.7% unemployment rate, we can’t find enough people, we can’t fill all the job openings.”"," March 10, 2020"
"During his tenure as mayor of New York City, “street homelessness decreased by 28 percent.”"," March 1, 2020"
Says California has a top income tax rate of 13.3% “and people aren’t leaving.”," March 1, 2020"
Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after appearing to scan police communications in order to black out the equipment ... Was aiming scanner. Could be a set up?," June 9, 2020"
"A man’s injuries from falling after police officers shoved him in Buffalo, N.Y. were staged."," June 9, 2020"
"Says Donald Trump won the Ellis Island award for patriotism, tolerance, brotherhood and diversity” alongside Muhammad Ali and Rosa Parks."," June 9, 2020"
Videos show President Donald Trump saying “I can’t breathe.”," June 9, 2020"
Donald Trump “cancelled Bill Gates project known as ID2020.”," June 9, 2020"
"In voting by mail, “hundreds of thousands of ballots have been rejected for defects and millions more end up missing or in landfills.”"," June 9, 2020"
Says Joe Biden wants to defund the police.," June 9, 2020"
“These ‘peaceful’ protesters burned these horses to death.”," June 8, 2020"
“The 9/11 Memorial in NYC was just defaced with graffiti.”," June 8, 2020"
A photo shows “the Lincoln Memorial. His head damaged and defaced.”," June 8, 2020"
“There were not chemical irritants” used to clear a crowd. Pepper balls are “not a chemical irritant.”," June 8, 2020"
"Says a new law adopted in Texas means property tax bills “are no longer really dependent on your values, it is on (local government) revenue growth.”"," June 8, 2020"
“Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.”," June 8, 2020"
"“A declaration of disaster, has been issued for the state of Texas. House Bill 1177 Allows any Texan who can legally own a firearm to carry their handgun, open or concealed, for a full week after a state or natural disaster is declared.”"," June 5, 2020"
Text from someone “connected” to Raleigh police: “antifa may be heading into the wealthy neighborhoods tonight to take what should be theirs.”," June 5, 2020"
"The man pictured in a mugshot is not Derek Chauvin, the officer who was recorded kneeling on George Floyd’s neck."," June 5, 2020"
“Trump’s star on the Hollywood Walk of Fame has been destroyed.”," June 5, 2020"
"Last year, there were nine unarmed black people killed (by law enforcement). Nineteen unarmed white people.”"," June 5, 2020"
“She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”," June 5, 2020"
"Says police officers in Austin, Texas, have been “authorized to use LIVE ROUNDS, and lethal force” against protesters."," June 5, 2020"
“This man who was kicked and stomped” was killed by an “antifa murderer.”," June 5, 2020"
Says a photo shows a memorial vandalized by Black Lives Matter protesters.," June 4, 2020"
Says he’s the one who gave the nickname “Mad Dog” to former Defense Secretary James Mattis.," June 4, 2020"
"“The CEO of the company that owns Wendy’s, Taco Bell, and Pizza Hut donated $400,000 towards Trump’s re-election campaign.”"," June 4, 2020"
“No tear gas was used and no rubber bullets were used.”," June 4, 2020"
“You see suicide rates are skyrocketing now…”," June 4, 2020"
Says the Obama administration was doing pattern-or-practice investigations of discrimination by police departments and “Donald Trump came in with Jeff Sessions and undid those.”," June 4, 2020"
Photos show cemeteries and war memorials damaged during George Floyd demonstrations.," June 4, 2020"
Data show that more white people than black people are shot and killed by police.," June 3, 2020"
"Says George Soros said, “I’m going to bring down the United States by funding Black Hate groups. We’ll put them into a mental trap and make them blame white people. The Black community is the easiest to manipulate.”"," June 3, 2020"
Says Joe Biden’s presidential campaign donated $20 million to bail out protesters.," June 3, 2020"
"“Piles of bricks are being staged in cities around the country, indicating riots are planned.”"," June 3, 2020"
"“White busses marked ‘Soros Riot Dance Squad’ spotted in Michigan: It’s official, the riots are staged.”"," June 3, 2020"
"“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”"," June 3, 2020"
Says Donald Trump got “exposed for raping a 13-year-old in retaliation for law enforcement officers “killing black people.”," June 3, 2020"
"If protesters blocking the road “start banging on your windows, threatening you and trying to get in your vehicle,” it is legal to “hit the gas and plow through them.”"," June 3, 2020"
Says “a rioter accidentally dropped” a riot manual with detailed instructions.," June 2, 2020"
A photo shows Adolf Hitler holding a Bible like Donald Trump.," June 2, 2020"
"If President Trump decides to deploy the U.S. military domestically, he would be “mobilizing U.S. military troops on American soil for the first time since 1807.”"," June 2, 2020"
Zoo animals were released during protests in Chicago.," June 2, 2020"
Video shows Seattle police in uniform “vandalizing” a building “to frame protesters.”," June 2, 2020"
Says President Trump tweeted that he spoke with George Floyd’s family and said they were “honored” to hear from him.," June 2, 2020"
“Rocks being dropped off in cages in LA for rioters. Compliments of George Soros.”," June 2, 2020"
"Says officials in Washington, D.C., are “jamming all communications.”"," June 2, 2020"
BLM Fresno riots will begin at 4 p.m. in River Park on 06/02/20," June 2, 2020"
Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.," June 2, 2020"
"“The new Dane County lockdown policy… (has) effectively killed Badger football, hockey, and basketball for 2020.”"," June 2, 2020"
Says Osama bin Laden endorsed Joe Biden," June 19, 2020"
CNN aired a video of a toddler running away from another toddler with the headlines “Terrified toddler runs from racist baby” and “Racist baby probably voted for Trump.”," June 19, 2020"
Says Tim Tebow “kneeled in protest of abortion during the National Anthem in 2012. He was praised by fans as being a ‘model American.’”," June 19, 2020"
"“Even so-called moderate Democrats like Joe Biden have endorsed a ban on fracking, which would eliminate 516,000 Michigan jobs and reduce the state’s gross domestic product by $159 billion over five years.”"," June 19, 2020"
"Our health department, our city and our county declared racism as a public health crisis last year.”"," June 18, 2020"
Says before he planned a rally on June 19 “nobody had ever heard of” Juneteenth.," June 18, 2020"
California’s registered independent voters “will not be able to vote republican come 2020.”," June 18, 2020"
"“Antifa now banging on residents’ doors in Seattle, demanding food & supplies. If they don’t get it, the house gets vandalized.”"," June 18, 2020"
“President Obama and Vice President Biden never even tried to fix this (police reforms) during their eight-year period.”," June 18, 2020"
Says these “elite” figures are on house arrest with ankle monitors “due to child trafficking crimes.”," June 18, 2020"
"Says Nate McMurray said that “gun owners are part of the most insecure and dangerous club on earth,” that “the NRA are homegrown terrorists,” and that “abortion opponents are the American Taliban.”"," June 18, 2020"
Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.," June 18, 2020"
“163 paid protesters just filed a lawsuit against George Soros for not paying their bail.”," June 18, 2020"
“Trump administration just FIRED 54 scientists & cut off 77 grants at Fauci's NIH for not disclosing their ties to Communist China!”," June 18, 2020"
"While in prison, boxer Jack Johnson invented and patented the first wrench, and white people insulted him by calling it a “monkey wrench.”"," June 18, 2020"
Nazi Germany’s Hermann Göring worked to defund and eliminate the police departments so that they would not interfere with his Brown Shirts.," June 18, 2020"
“Speaker Pelosi presents a special ‘service flag’ to Mr. Floyd’s family.”," June 18, 2020"
Says NASCAR “bans the confederate flag but FORCES all their drivers to do Muslim prayer.”," June 18, 2020"
"“If we stopped testing right now, we'd have very few cases, if any.”"," June 17, 2020"
Says the state of Maryland issued these Independence Day 2020 safety guidelines.," June 17, 2020"
“The point of defunding the Police in Minneapolis is that Minnesota is where Obama settled 1 Million Islamics. They want Sharia Law.”," June 17, 2020"
"“According to its website Black Lives Matter, Inc is NOT a charity. It is a full-fledged corporation that does NOT have any locations.”"," June 17, 2020"
A white armed-robbery suspect was sentenced to two years in jail while a black armed-robbery suspect was sentenced to 26 years in prison by the same Florida judge.," June 17, 2020"
There are state workers who are idle at home during the coronavirus pandemic.," June 17, 2020"
“CNN lightened the photo of the man who drove into the protester last night in Seattle.”," June 17, 2020"
Says news stories referencing 322 and COVID-19 are proof cases are being “synchronized”," June 16, 2020"
"In COVID-19 crisis, “only 20% of African Americans had jobs where they could work from home.”"," June 16, 2020"
"Says photo of beaten woman is Aracely Henriquez, a pregnant woman who George Floyd assaulted during an armed robbery."," June 16, 2020"
“The CDC just confirmed a 0.2% death-rate for COVID19.”," June 16, 2020"
"In a very real sense, (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma — it's declined precipitously."," June 16, 2020"
“FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.”," June 16, 2020"
“George Floyd’s ‘murder’ filmed before COVID-19.”," June 16, 2020"
Says Joe Biden called ANTIFA “courageous Americans.”," June 16, 2020"
"“Cops in Norway: require 3 years of training, 4 people killed since 2002. Cops in Finland: require 2 years of training, 7 people killed since 2000. Cops in Iceland: require 2 years of training, 1 person killed since ever. Cops in the U.S.: require 21 weeks of training, 8,000+ people killed since 2001.”"," June 16, 2020"
"“Detroit spent $294 million on police last year, and $9 million on health.”"," June 16, 2020"
“The owner of Taco Bell said them animals need to be shot (black ppl)!”," June 16, 2020"
“United States Navy Seal Team ... helicopter was shot down yesterday in Afghanistan and they lost 30 members of the team.”," June 15, 2020"
"Donald Trump is recruiting “excited and enthusiastic MINORITY actors and actresses” to appear at his campaign rally in Tulsa, Okla."," June 15, 2020"
"“Corona Virus claims a black belt. Chuck Norris, Dead at 80.”"," June 15, 2020"
"“N95 masks block few, if any” COVID-19 particles due to their size."," June 15, 2020"
“Why did the state do that with COVID patients in nursing homes? It’s because the state followed President Trump’s CDC guidance.”," June 13, 2020"
Says Robert E. Lee opposed slavery and secession and has come to symbolize both slavery and secession.," June 12, 2020"
"“All money donated to Black Lives Matter goes directly to Act Blue, a Democrat Super PAC that then feeds the money to Democrat candidates.”"," June 12, 2020"
"Wearing masks for the coronavirus “decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.”"," June 12, 2020"
The Buffalo protester pushed to the ground “had been previously arrested 300 times. 82 times for incitement. Riots is what he does for a living.”," June 12, 2020"
Says Donald Trump has opposed plans to clean up “Toxic chemicals that cause cancer (that) are in the water …. (and) put Wisconsin at risk.”," June 12, 2020"
"“Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.”"," June 12, 2020"
"Nancy Pelosi ordered a 220-seat Boeing 757 to fly to her home state, costing taxpayers nearly $5.8 million annually."," June 12, 2020"
NFL will fly a “‘Black Lives Matter’ flag under the American flag at games.”," June 12, 2020"
"Said New York Gov. Andrew Cuomo said that “with all the technology we have, we don't need actual classrooms.”"," June 12, 2020"
Wearing the Kente cloth “worn by affluent African slave traders” is “like honoring Jews by wearing swastikas.”," June 12, 2020"
"“Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.”"," June 12, 2020"
Says photo shows that Chick-fil-A distributed “Back the Blue” T-shirts to employees in response to recent protests over police brutality.," June 11, 2020"
The World Health Organization “now admits that asymptomatic transmission of COVID-19 is very rare.”," June 11, 2020"
“George Floyd at his own funeral and George Floyd three days ago.”," June 11, 2020"
"If Roe is overturned, Wisconsin has a law on the books that would immediately make abortion a crime.”"," June 11, 2020"
Hillary Clinton is on trial for Bengazi (sic) this week.”," June 11, 2020"
"“Today, the gap between African American and white homeownership is larger than it was in the late 1960s.”"," June 11, 2020"
"“Trump supporters tackled an Antifa thug, unmasked him, duct taped him to an electrical box.”"," June 11, 2020"
“It wasn't a big deal when Bill Clinton held up the Bible in front of the same exact church (as Donald Trump).”," June 11, 2020"
Says a photograph shows U.S. soldiers sleeping on the ground after Washington D.C.’s mayor kicked them out of local hotels.," June 10, 2020"
“How many of you are aware that the female governor of Michigan is the niece of George Soros?”," June 10, 2020"
“More than 20 police officers are dead now because of the riots.”," June 10, 2020"
“Antifa is warning that tonight they're moving out of the cities - and into residential areas to 'take what's ours.'”," June 1, 2020"
Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell.," June 1, 2020"
“Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.”," June 1, 2020"
"During protests outside the White House, Mayor Muriel Bowser wouldn't let the D.C. Police get involved."," June 1, 2020"
George Floyd’s death and the ensuing protests were planned to introduce martial law and “purge” the United States.," June 1, 2020"
Says President Donald Trump “took more than a month to allocate Congress’ emergency funding to tribes — and only did so after tribes sued.”," June 1, 2020"
“The NAACP has endorsed me every time I've run.”," June 1, 2020"
Says George Soros is funding the chaos in Minneapolis via his Open Society Foundations.," June 1, 2020"
"“With retail, people are moving around and you don’t have as much a chance to spread the virus (as you do) when people are sitting or standing indoors” for long periods of time."," June 1, 2020"
The Trump Administration is trying to take food assistance away from Wisconsin families when people are out of work and struggling.," June 1, 2020"
There have been 317 criminal indictments under three recent Republican presidents and only three indictments under three recent Democratic presidents.," January 9, 2020"
"Says Bill Clinton gave nukes to North Korea, Barack Obama gave nukes to Iran, and Hillary Clinton gave uranium to Russia."," January 9, 2020"
Elaine Chao BUSTED Sending $97 Million Contract To Help Mitch McConnell Win Reelection.," January 9, 2020"
Says photo shows U.S. planes on fire after Iranian missile strikes in Iraq.," January 9, 2020"
"In 2018, Biden lauded Paul Ryan for proposing cuts to Social Security and Medicare."," January 9, 2020"
Nancy Pelosi assured Iran that Trump will pay for his crimes.," January 9, 2020"
A bounty of $80 MILLION has been placed on President Donald Trump’s head by Iran as tensions between the country and the USA rise.," January 9, 2020"
U.S. and Virginia murders are usually gangbangers killing gangbangers.," January 9, 2020"
Says guns are required to be registered.," January 8, 2020"
Says a video shows Iranian rockets being launched toward a U.S. air base in Iraq.," January 8, 2020"
A man at the storming of the U.S. embassy in Iraq visited the White House in 2011.," January 8, 2020"
Says a series of photos show Iranian rockets being launched toward U.S. air bases in Iraq.," January 8, 2020"
Says a series of photos show Iranian rockets being launched toward U.S. air bases in Iraq.," January 8, 2020"
Says a video shows Iranian rockets being launched toward U.S. airbases in Iraq.," January 8, 2020"
Abolishing the Electoral College would make Los Angeles County stronger than 43 states.," January 8, 2020"
"Says a photo that shows a group of dead, scorched sheep is from Australia wildfires."," January 7, 2020"
A photo of a horse being pulled through a scorched ranch is from the Australia wildfires.," January 7, 2020"
A photo of a deer standing near a burned down residence is from the Australia wildfires.," January 7, 2020"
A photo of a burned cat is from the Australia wildfires.," January 7, 2020"
A collection of photos shows animals caught in the Australia wildfires.," January 7, 2020"
Says a photo shows Barack Obama smiling and shaking hands with Hassan Rouhani.," January 7, 2020"
Says a photo shows Barack Obama looking through binoculars the wrong way.," January 7, 2020"
Says Trump volunteered his airline to bring troops home during Operation Desert Storm.," January 7, 2020"
Says Jeff Foxworthy wrote a list of examples explaining how you might live in a nation that was founded by geniuses but is run by idiots.," January 7, 2020"
Says Qassem Soleimani assisted in the clandestine travel to Afghanistan of 10 of the 12 terrorists who carried out the September 11 terrorist attacks in the United States.," January 7, 2020"
Says the Democratic leadership and presidential candidates are mourning the loss of (Qassem) Soleimani," January 7, 2020"
"Iran will be shooting at our soldiers with bullets, etc., purchased with the $150 billion Obama gave them."," January 7, 2020"
Says he did not tell former President Barack Obama don’t go after Osama bin Laden," January 6, 2020"
Says an image shows a satellite view of fires in Australia.," January 6, 2020"
President Trump didn't say he'd go after a cultural site.," January 6, 2020"
Says a photo shows a Trump rally in downtown Philly yesterday.," January 6, 2020"
Says a photo from JFK airport shows our troops leaving to protect each one of us and our country.," January 6, 2020"
Says U.S. Rep. Rashida Tlaib tweeted and then deleted a post that said Americans have spent decades raping and pillaging my people. What goes around comes around.," January 6, 2020"
Says Betsy DeVos is the most unpopular person in our government.," January 6, 2020"
"Hillary ignored multiple requests for security, didn’t respond for 13 hours, & let 4 Americans die in Benghazi. Trump rushed in reinforcements, threatened to destroy Iran, & made sure no lives were lost in Baghdad."," January 6, 2020"
An image shows animals burning in the Australia wildfires," January 6, 2020"
Says the Obamas surrendered their law licenses to escape disciplinary action and charges.," January 6, 2020"
Says 10% of U.S. children are Texans.," January 31, 2020"
Says drinking a bleach solution will prevent you from getting the coronavirus.," January 30, 2020"
"Vice President Biden threatened a foreign country and forced them to fire a prosecutor who was investigating a company, that paid his son Hunter."," January 30, 2020"
Says a Clorox bottle claimed it could kill (the 2019 coronavirus)... before it was developed.," January 30, 2020"
Says she hasn’t taken corporate PAC money “since 2016.”," January 30, 2020"
Says some of the names that may be purged from voter roll are people who have died.," January 30, 2020"
Says Tom Hanks was photographed wearing a T-shirt with progressive slogans on it.," January 3, 2020"
A video shows Joe Biden making a racist comment.," January 3, 2020"
Child care costs account for 24% of a WI family’s budget.," January 3, 2020"
The president of the United States already has the legal authority to reduce the price of many commonly used prescription drugs.," January 29, 2020"
Virginia Democrats Push Legislation to Make Criticism of Government Officials a Criminal Offense.," January 29, 2020"
"When asked if he’s defended former U.S. ambassador to Ukraine Marie Yovanovitch, I've defended every single person on this team."," January 29, 2020"
An MSNBC reporter was fired for using a racial slur while covering the Kobe Bryant helicopter crash.," January 29, 2020"
Says the Democratic Party took Social Security from the independent ‘Trust Fund’ and put it into the general fund so that Congress could spend it and eliminated the income tax deduction for Social Security (FICA) withholding.," January 29, 2020"
More than 80% of Republicans think we ought to at least be doing universal background checks.," January 29, 2020"
FDA finally admits dental fillings are toxic.," January 29, 2020"
Video shows Gianna Bryant in the hospital after helicopter crash.," January 28, 2020"
The American people are overwhelmingly with us in calling witnesses in Senate trial," January 28, 2020"
Obama’s lawyers officially admit birth certificate is fake.," January 28, 2020"
Says the Chinese Communist Party will finally admit that the real source of the coronavirus is from ‘a lab in Wuhan’ linked to its covert biological weapon programs.," January 28, 2020"
"CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China."," January 28, 2020"
Says President Donald Trump’s hold on Ukraine aid was like when the Obama administration withheld $585 million of promised aid to Egypt in 2013 ... (and within the  fiscal year) they didn't have to disclose the halt to anyone.," January 28, 2020"
Says a 392-year-old shark was discovered in the Arctic Ocean," January 28, 2020"
Texas man admits kidnapping 79 people.," January 28, 2020"
Says China stole Coronavirus from Canada and weaponized it into a Bioweapon.," January 28, 2020"
