headline,date
An economics professor taught her students about socialism by “socialising grades” and failing all of them," May 14, 2020"
Gates Foundation stands to make nearly Ł31.5 billion on a coronavirus vaccine in U.K.," May 14, 2020"
$3 trillion for federal coronavirus stimulus packages is being borrowed basically from China.," May 14, 2020"
“It’s not the coronavirus that’s killing people. It is the economy.”," May 14, 2020"
"“Guess what, [children are] not at risk unless they have an underlying medical issue.”"," May 14, 2020"
"“Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that's perhaps the most important number there is.”"," May 13, 2020"
"Says President Donald Trump implemented “a travel ban that just didn't work, 400,000 people got in from those countries that were subject to the restrictions.”"," May 13, 2020"
"New York City could pay to house its homeless population in hotel rooms currently sitting vacant, but Mayor Bill de Blasio “has absolutely to this point refused to do that.”"," May 13, 2020"
Says gloves shouldn’t be worn in public because “if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.”," May 13, 2020"
“Nearly half of (Missouri) counties have not reported positive (COVID-19) cases.”," May 13, 2020"
"Under an 1866 Supreme Court ruling, stay-at-home orders are illegal and can be disregarded with impunity"," May 13, 2020"
Young people have a greater chance of being killed by the HPV vaccine than COVID-19.”," May 12, 2020"
"Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed."," May 12, 2020"
"Joe Biden said, “The things I did while in elected office should not be made public while I am seeking a higher public office.”"," May 12, 2020"
“The CDC has recommended mail in voting. That’s what this whole pandemic is about: the election!”," May 12, 2020"
Says Dr. Anthony Fauci's name appears on 4 U.S. patents for a key glycoprotein” used to “create the current COVID-19 epidemic.”," May 12, 2020"
“The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.”," May 12, 2020"
Actor Tom Selleck praised President Donald Trump in a meeting with Breitbart.," May 12, 2020"
Technology coming to Virginia allows COVID-19 personal protection equipment to be “decontaminated and reused 20 times without degrading performance.”," May 12, 2020"
“Trump revokes Barack Obama’s security clearance.”," May 11, 2020"
Barack Obama “is the first ex-president to ever speak against his successor.”," May 11, 2020"
Says Attorney General William Barr didn’t cite the rule of law” in explaining his decision in the Michael Flynn case during a CBS News interview.," May 11, 2020"
“Dr. Fauci sat on Microsoft’s board of directors.”," May 11, 2020"
"Regarding the risks of coronavirus transmission on an airplane, “It’s as safe as an environment as you’re going to find.”"," May 11, 2020"
Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2014. Did Pres. Obama grant an exception?," May 1, 2020"
Homeless people are immune to COVID-19," May 1, 2020"
Says President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.," May 1, 2020"
"Walmart, Amazon, Kroger, Target and Costco “have not had any reported (coronavirus) cases in the news.”"," May 1, 2020"
"Says Wisconsin measures have prevented the death of at least 300 Wisconsinites, and perhaps as many as 1,400 lives."," May 1, 2020"
The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans.," May 1, 2020"
"Says President Barack Obama signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”"," May 1, 2020"
The CDC recommends that only people with COVID-19 symptoms should wear masks.," May 1, 2020"
"If you look at California, if you look at people of color in general, African-Americans, Latinos, Asian-Americans, we won that big time. Big time. Not even close.”"," March 9, 2020"
The coronavirus is “simply the common cold.”," March 9, 2020"
Video shows Joe Biden saying “we can only re-elect Donald Trump.”," March 9, 2020"
Bernie Sanders has “never taken corporate lobbyist money in his *entire political career.*," March 9, 2020"
“Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome.”," March 9, 2020"
Video shows Joe Biden saying “we can only re-elect Donald Trump.”," March 9, 2020"
